SN,NAME,Project name,Organisation
702,Utpalendu Barman,Integrate MJML / GrapeJS Newsletters,CiviCRM LLC
703,Pawan Wadhwani,Deep Reinforcement Learning for precise robot grasping and object manipulation,RoboComp
704,Karine Pistili,Reforestation Assistant & Simulator,Liquid Galaxy project
705,Rijuta Singh,Integrating the Oppia blog with Oppia.org,Oppia Foundation
706,isolte,glTF virtual environment loading,xrdesktop
707,Parth Kanakiya,OpenMRS GSOC-21 Proposal,OpenMRS
708,Divyam Ahuja,Finishing implementation of unfinished Game Engines,ScummVM
709,Manuel Drehwald,Integrating Enzyme into Rust,The LLVM Compiler Infrastructure
710,Anurag Gupta,Implement reusable GA4GH UI clients,Global Alliance for Genomics and Health
711,Saptarshi Majumder,RGW:S3 SDK Compatibility,Ceph
712,Ali Eren Yogurtcu,FastFingers Application Development,CCExtractor Development
713,Sarthak Garg-1,Improve User Experience in Zulip Terminal,Zulip
714,Lara Lazier,Complete AMD virtualization emulation,QEMU
715,Harsh Prakash Gupta,Add support for in-browser interactive averaging of physics results,CERN-HSF
716,Ish Bosamiya,Continued Development on Adaptive Cloth Simulator for Blender,Blender Foundation
717,Medhavi Srivastava,Support for Extended Operations in FHIR,OpenMRS
718,João Vitor F. Cavalcante,R Community Explorer - Exploration of the R community on Twitter,The R Project for Statistical Computing
719,Hiebl,Unified Catrobat Language Brick Syntax,International Catrobat Association
720,Oskar Walcher,Search functionality for bricks in Pocket Code,International Catrobat Association
721,Nicolas,A step forward on Shaka Player’s User Interface,Shaka Player
722,Ameya Deshpande,IPv6 Nix-Vector Routing,The ns-3 Network Simulator Project
723,Arjun Taneja,Improving Accessibility for the Visually Impaired,MuseScore
724,ArunagirinadanSudharshan,Implementing integration tests using Gherkin language,Ceph
725,Swadesh Jana,Create a Red Hen OpenDataset for gestures with performance baselines,Red Hen Lab
726,kinshuk,"Decentralized storage of versioned BIDS datasets with IPFS, datalad and Ceramic",INCF
727,Mohit,Microsoft Word Integration,JabRef e.V.
728,Rohit Goswami,LFortran and Computational Chemistry,Fortran-lang
729,Dilith Jayakody,Curve Improvements,Blender Foundation
730,Sudhanshu Kumar P,DFFML : Add data cleanup dataflow operations and sklearn accuracy scorers,Python Software Foundation
731,Nitin Mishra,TensorCore Extension for Deep Learning,Free and Open Source Silicon Foundation
732,Yash Agrawal,Add zoom and pan to the Wikisource Pagelist Widget,Wikimedia Foundation
733,Kaushlendra Pratap Singh,Copyright False Positive Detection Using ML,FOSSology
734,Siger,Lua scripted watchpoints in LLDB,LabLua
735,Danish Jamal,Fineract Client,The Apache Software Foundation
736,Hanxi Guo,"Proposal for ""Accelerate OpenCV.js DNN via WebNN""",OpenCV
737,Manav Nair,eMMC Plugin Firmware,apertus° Association
738,Kai A. Hiller,Fractal NEXT,GNOME Foundation
739,Mohit Balwani,Refactor the ODE module and make it fast,SymPy
740,Sai Bhushan,Improve Test Coverage in p5.Sound library,Processing Foundation
741,Kamil Albrycht,React diagram component library for creating pedigree drawings tools,Global Alliance for Genomics and Health
742,Aditi-Singh,OpenWrt Device Page,freifunk
743,Anastasia Neklepaeva,Various SQL VM improvements: threaded interpretation and instruction merging,Tarantool
744,sp35,IntelOwl Connectors Manager and Integrations,The Honeynet Project
745,Crane yang,Macromedia Director,ScummVM
746,Jingchen YE,Speeding up string operations,mypy
747,parth-07,Add support for functor objects in clad,CERN-HSF
748,Peddi Sai Varshith,Integrate an optical microscope with a camera and motorized stage - Collaboration with FDA,caMicroscope
749,Xin Yue Chen,Turn All References Blue,Internet Archive
750,lusceu,Implementing DDiMon for Windows and Linux using Bareflank,The Honeynet Project
751,jasondk,Pin Tracks & Review Tracks Through CritiqueBrainz,MetaBrainz Foundation Inc
752,Roberto Rosmaninho,LLVM Back-end for the Tensor Algebra Compiler (TACO),Python Software Foundation
753,Pokemod97,Terminal Driver Improvements,TianoCore
754,michaeokoko,Use JSON as on-disk format for Histograms,MariaDB Foundation
755,Meet Bhatnagar,R Conference Events Explorer,The R Project for Statistical Computing
756,Anjani Kumar,Port digiKam to Qt6 on Linux,KDE Community
757,Magali Lemes,Improving statistics from kw,The Linux Foundation
758,earthshakira,Query the Blockchain,Polypheny
759,adi10hero,Semantic Versioning Plugin for Jenkins,Continuous Delivery Foundation
760,Aditya-Dubey,Move custom JS\TS lint checks to eslint,Oppia Foundation
761,Anand Kumar,Automatic Lineshape Engine,openastronomy
762,suraj kulriya,Make All Filter Functions Work Well Even Without PPD Files,The Linux Foundation
763,Ida Delphine,Code Formatting and Style Check for RTEMS SuperCore (score),RTEMS Project
764,Alexandros Manochis,High dimensional geometric computations with least matrix inequalities,GeomScale
765,Zhipeng Zhao,Social Knowledge Graph: Employing SNA measures to Knowledge Graph,DBpedia
766,Riken Shah,Removing Unused CSS & Working On Developer Tooling Area,Zulip
767,Pritam Saha,Develop a Cytoscape App for the Casual Path Algorithm,National Resource for Network Biology (NRNB)
768,Yash Patel,Migrate Web Presence to new Module Site,The Terasology Foundation
769,Matvey Luboshnikov,Replacement of deprecated GTK classes,Synfig
770,Michal Klein,Using machine learning to seed LLVM’s attributor pass,The LLVM Compiler Infrastructure
771,Gaurav Genani,Expose Cilium Config to CLI Tool,Cilium
772,Pratik Baid,Flood Mobile App,CCExtractor Development
773,Hrithik Kumar,Coding style checker bot for Gerrit,Haiku
774,Kacper Kujawski,Webots integration,RoboComp
775,Harsh Mishra,Improving User Experience Of Frontend and Enabling User Personalisation,AOSSIE
776,Rakshita Varadarajan,New protocols for exascale data management with Rucio,CERN-HSF
777,Srikar Reddy Jilugu,Converting ML Matlab Examples to Python using JAX,TensorFlow
778,Svea Marie Meyer,Project 9.5: Classification using EEG,INCF
779,Priyanshu Jain,Finish the new web interface,Kodi
780,ThenoobMario,Implementing GPU Accelerated Sub-gridding,gprMax
781,Tejasvi Gupta,Interactive Graphics for ChemoSpec,The R Project for Statistical Computing
782,Anshu Khare,Sidebar Task,LibreOffice
783,Anshuman Singh,Refactor Multi-Task BERT,DeepPavlov
784,Amish Garg,TensorFlow Lite Flutter Support Suite Enhancements,TensorFlow
785,Diptanshu Mittal,A Django Platform for comparing scientific methods for analyzing neural time series analysis methods,INCF
786,Xinyu Zhou,Refactor Casbin.js and other optimizations on pycasbin and node-casbin,Casbin
787,mikit,Faster and Accurate License Matcher,SPDX
788,Harsh Bardhan Mishra,Development of Jupyter Kernel for MetaCall Core,MetaCall
789,Hongli Zhao,SageMath: Efficient Tensor Calculus Backend and Numerical Tensor Arithmetics via Tensor-Train,SageMath
790,Ahmat Hamdan,Inference Code Generation for Recurrent Neural Networks,CERN-HSF
791,Adrij Shikhar,SenZ Project Proposal,SCoRe Lab
792,Hyeongyu Kim,Fix miscompilation issues in LLVM IR using the ‘Freeze’ instruction,The LLVM Compiler Infrastructure
793,Siddharth Saha,ROS2-RADI and Single Robot Amazon warehouse exercise in web-based template,JdeRobot - Universidad Rey Juan Carlos
794,Anais Gonzalez,Improving the p5.xr Library Through Artistic Examples,Processing Foundation
795,Diego Porras,SKF support for interactive vulnerability fixing.,OWASP Foundation
796,Yifan Wang,Project Proposals for TF Core and Model Garden,TensorFlow
797,Konstantin Sidorov,Improving OpenMP code generation with prediction of runtime parameters,The LLVM Compiler Infrastructure
798,Tirth Patel,Integrate library UNU.RAN into scipy.stats,Python Software Foundation
799,Varun Jain,Functional Enahancements To Fineract CN Mobile Application,The Apache Software Foundation
800,Yash Prakash,Automate Metrics Release and Process Improvement,CHAOSS Project
801,Diego Urgell,Binary Segmentation Package,The R Project for Statistical Computing
802,Shashwat Dalakoti,Exercise using Deep Learning for Visual Detection,JdeRobot - Universidad Rey Juan Carlos
803,Anaswara T Rajan,SWAN support in oCIS,CERN-HSF
804,Jayesh Desai,Modular DBpedia Chatbot,DBpedia
805,Chetan Karwa,Linked List in stdlib of Fortran-lang,Fortran-lang
806,Rohan Mallick,Smart Pens,caMicroscope
807,Tarindu Jayatilaka,Machine Learning Guided Ordering of Compiler Optimization Passes,The LLVM Compiler Infrastructure
808,Ashutosh Kumar-1,DBpedia Live Neural Question Answering Chatbot - GSoC2021,DBpedia
809,Fawzi E. Abdulfattah,Enhancing the EOS-icons [Backend],Python Software Foundation
810,Anushka Chakraborty,Feature Implemetation and Ui Development of Android FHIR,Google FHIR SDK
811,Suraj Choubey,GeomScale: Monte Carlo Integration,GeomScale
812,Martin Gius,TidalCycles API and editor plugin,Haskell.org
813,Manjot Sidhu,Interactive Book Integration for Mobile App,CircuitVerse.org
814,Aditya R Rudra,Improving Test Coverage and Implementing CI/CD in BrainBox,INCF
815,Shubhaditya Burela,Implementing an Unsteady Vortex-Lattice aerodynamic element,MBDyn
816,Sourabha G,Improve and maintain 15 Sugar activities,Sugar Labs
817,CaitlinHaedrich,Improved Integration of GRASS GIS and Jupyter Notebooks,OSGeo - Open Source Geospatial Foundation
818,Aitik Gupta,Matplotlib: Revisiting Text/Font Handling,NumFOCUS
819,Angelina Panagopoulou,matrixStats: Consistent Support for Names Attributes,The R Project for Statistical Computing
820,Aakash Hemadri,Analysis and fixing of race condition warnings in the Linux kernel,The Linux Foundation
821,Tim Reichelt,GPU Support for AdvancedHMC.jl,The Julia Language
822,George Dialektakis,Deep autoencoders for ATLAS data compression,CERN-HSF
823,Ilya Zarubin,RcppSMC - support for modern Monte Carlo methods,The R Project for Statistical Computing
824,Marc P. Masó,Tools for visualization and efficient editing,Open Chemistry
825,Amey Varhade,Machine Learning for Turbulent Fluid Dynamics,Machine Learning for Science (ML4SCI) Umbrella Organization
826,pingport80,Improving Post-Exploitation API,Metasploit
827,Shashwat,Create web components for FHIR Resources,LibreHealth
828,Nikolaos Kokkinis,DeepbotsZero,GFOSS - Open Technology Alliance
829,Divyam Singal,Boost.Real: Modifying internal representation of operation and improving math functions,Boost C++ Libraries
830,Saurav Shrivastav,Improve pgeu-system for Conference Management,PostgreSQL
831,Mugilraj D,IIO Driver: AD4695 ADC,The Linux Foundation
832,Tushar Guha Neogi,GSOC Proposal 2021 Bench-Routes,Bench-Routes
833,Oliver Madine,Haskell Language Server: Symbol Renaming,Haskell.org
834,Sugam Srivastava,ZFS root support(bootloader and mount_root),The NetBSD Foundation
835,aley,Tensorflow Proposal,TensorFlow
836,Dimitrios Iatrakis,Add support for OAuth2 Login (i.e. OpenID Connect) authentication to factotum,Plan 9 Foundation
837,Antonin Jolivat,QA Reports Extraction Tool,OpenStreetMap
838,Punit Lodha,Rewrite 708 decoder in Rust,CCExtractor Development
839,Shreyaa Sharma,Reporting Ceph issues from the Ceph-Dashboard,Ceph
840,Pranjal Singh,Fuzzing Xen with Xen,The Honeynet Project
841,Sang Truong,Refactoring of hyperSpec R Package,The R Project for Statistical Computing
842,Chinmay Vibhute,A Testing Framework for Niffler DICOM frameworks for Continuous Integration,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
843,Vladyslav Hnatiuk,PyQuotient,Matrix.org
844,Lucas Wang,Framework update and rewrite of the KDE Connect iOS Application,KDE Community
845,Arib Alam,Tardis Setups Framework,TARDIS SN
846,Vishnu Madhav,Make Cp-demangler non recursive,GNU Compiler Collection (GCC)
847,Pranshu Kharkwal,Create a single universal CUPS filter to replace the chain of individual filters,The Linux Foundation
848,Kaustubh Chaudhari,New Version Refactoring,NumFOCUS
849,Rohit Sutradhar,Tutorial for Universal Intrinsics and parallel_for_ for efficient cross-platform algorithm implementation,OpenCV
850,Khushal Uttam,Kotlin Refactoring and MVVM Implementation,International Catrobat Association
851,Quanwen Chen,List Configuration Tool,GNU Mailman Project
852,Shayan Majumder,CCSDS File Delivery Protocol in MicroPython,LibreCube Initiative
853,pruhnuhv,Improving the Raspberry Pi BSP,RTEMS Project
854,Lahiru Udayanga De Silva,3scale - Envoy proxy authorization cache,JBoss Community
855,Rafael Badell,Implementation of sensor and actuator models in Cubesat Simulator,AerospaceResearch.net
856,Valentin Boettcher,KStars DSO Overhaul,KDE Community
857,Naveen Sai,Rational Solutions of Riccati ODEs,SymPy
858,Nolan Windham,Open Book Genome Project,Internet Archive
859,Shiyu Liu,Diversity transformation class space and implement Coverage-guided mutation-based fuzzing for WebGPU,Android Graphics Tools Team
860,leachim,Improving Turing’s documentation and tutorials,The Julia Language
861,Niteesh Babu G S,"Interactive, asynchronous QEMU Machine Protocol (QMP) text user interface (TUI)",QEMU
862,Egor Zverev,Extend Data Pipelines to cover more data products,MapAction
863,Rahul Saxena,GSoC 2021 Proposal Productionizing bddashboard,The R Project for Statistical Computing
864,Flynn,A Privacy-Respecting Email Service for Personal Servers,Debian
865,Ishan Vatsaraj,TVB for Jupyter and Collaboratory,INCF
866,Daniel Ko,try.spinnaker.io,Continuous Delivery Foundation
867,mmalenic,Pure Rust Htsget Implementation,Global Alliance for Genomics and Health
868,Phuoc-Khanh LE,digiKam Image Quality Sorter algorithms improvement,KDE Community
869,Sylwia Majchrowska,Modelling complex materials electromagnetic properties in gprMax software,gprMax
870,Aryan Verma,CovCT: Development of an AI-based Android Application for distinguishing COVID-19 and Pneumonia using Computed Tomography Images and generate reports for analysis,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
871,Paula Marin,SatNOGS Network data visualizer for Liquid Galaxy,Liquid Galaxy project
872,Anuradha Pandey,"Adopt an unreleased language pair, Hindi-Bhojpuri",Apertium
873,Prakhar Saxena,Continuum Mechanics: Creating a Rich Beam Solver and Extending Continuum Mechanics Module,SymPy
874,Esandha Vithanage,S-ChainX: Product Hunter,SCoRe Lab
875,Suraj Kumar Mahto,KMyMoney : Integration of the new functionalities from the Alkimia library,KDE Community
876,Aman Gupta,Awesome Demo Game Project : King Of Batona,International Catrobat Association
877,Aleksei Dorkin,Automatic Qualia Extraction and Annotation Tools,FrameNet Brasil (UFJF)
878,Cédric Dollet,Colour-Science for python,NumFOCUS
879,Akash Saini,Brokering Continuous Delivery through the ELIXIR Cloud service registry,Global Alliance for Genomics and Health
880,Priyanshu_Agarwal,PyBaMM - Printing formatted equations,NumFOCUS
881,Dmitry Volodin,25 Dmitry Volodin Github Action Workflows for Scheduled Algorithm Deployment,Orcasound
882,Jakub Rybak,Dimensionality Reduction for Studying Diffuse Circumgalactic Medium,Machine Learning for Science (ML4SCI) Umbrella Organization
883,Vedant Nandoskar,Real Time Collaborative Pathology,caMicroscope
884,Raghav Bhatia,Newman request,Postman
885,Priyank Patel,TypeScript Migration,Zulip
886,Shiven Tripathi,Analyzing stimulus prediction capabilities of neurons: predictive information estimation methods,INCF
887,Jenny Yu,Custom Abundance Widget,TARDIS SN
888,Yash Pandey,"Benchmarking, Python bindings and Migrating to CTest for Casbin-CPP",Casbin
889,Linda Kladivova,First steps towards a new GRASS GIS Single-Window GUI,OSGeo - Open Source Geospatial Foundation
890,Namit Chandwani,Develop a Golang-based framework to enhance Knative’s functionalities,JBoss Community
891,giulio,Simplified external port forwarding and automatic NAT traversal,Qubes OS
892,Kannav Krishan Mehta,Finalizing and improving the subtensor type,Boost C++ Libraries
893,Simon Thor,Enhancing the Plotting Functionality in MCnet/Rivet,CERN-HSF
894,Vladislav Kakurin,Non-blocking multi-thread IO_CACHE,MariaDB Foundation
895,Adam R. Jensen,Making pvlib python a one-stop source for solar resource data,NumFOCUS
896,Artemis Georgopoulou,sch-webapps: aggregator for web-based educational material,GFOSS - Open Technology Alliance
897,Zhengkun Chen,Google summer of code 2021 Application,GNSS-SDR
898,Sahan Dissanayaka,ImageLab - extend the functionality,SCoRe Lab
899,Ji Ho Kang,Nemo Optimization by WAN Hierarchical Aggregation and Fidelity Control,The Apache Software Foundation
900,Aldán Creo,New database search backend,Django Software Foundation
901,Sahil Grewal,Upgrade WebdriverIO to the latest version 7 for all repositories,Wikimedia Foundation
902,Aakash Kaushik,Ready to use Models in mlpack,mlpack
903,Paritosh Singh,Improving Google Search Result On Buddhist Entities.,Project WikiLoop
904,Saurabh-Gupta,Sugarizer Story Activity,Sugar Labs
905,Artur Tomczak,Add IDS validation with BCF output to IfcOpenShell,BRL-CAD
906,Garv Tambi,Computer vision for detecting elements of a vehicle’s environment with RoboComp,RoboComp
907,Prashant Dodiya,Microfarm For Everybody,coala
908,alexrockhill,mne-python intracranial electrode localization toolbox,Python Software Foundation
909,Alejandra Cossío Ch.,Refining Code Critics,Pharo Consortium
910,thhagelmayer,dd support for error terms with explicit constants to AsymptoticRing,SageMath
911,Abdallah Ahmed,BibTeX Plugin Project,Joplin
912,Hemansh Khaneja,Cross-Slide Coordinated Viewing,caMicroscope
913,Archana Warrier,GSoC Proposal - Causal and counterfactual methods for fairness in machine learning,The Julia Language
914,Balaji G,DataFrame,Pharo Consortium
915,Gabriela Bittencourt,Improving workflow with autocomplete feature,Purr Data
916,Umang Kalra,"Auto-Arrangement of Nodes in GraphEdit, VisualScript and VisualShaders",Godot Engine
917,Bhavna Kosta,Firmware and other file handling in PAPPL,The Linux Foundation
918,Miranda Ren,Enhance Project Repository and WebApp of Catalog of Digital Solutions,Digital Impact Alliance (DIAL) at UN Foundation
919,Yusuf Karadag,Application Proposal for Apache Clerezza,The Apache Software Foundation
920,Wenzhang Yang,Static analysis for unreachable functions,GNU Compiler Collection (GCC)
921,Karan Kharecha,User Centric Knowledge Engineering and Data Visualization,DBpedia
922,Guanglin Huang,Factor analysis based on higher-order moments,The R Project for Statistical Computing
923,Jiyeon Lee,Inference Latency Estimator with Ensemble of Regression Models,MediaPipe
924,Akanksha Garg,Detect Unknown Licenses and Indirect License references in ScanCode,AboutCode
925,Hardik Katehara,Make backend code typed,Oppia Foundation
926,Rishabh kohale,Interactive viewer for systems-biology variant interpretation (Server-side),Open Genome Informatics
927,Meenal Jhajharia,Extending Time-Series Models,NumFOCUS
928,Srihari Humbarwadi,Implementing State of the Art Object Detection Models for Tensorflow Model Garden,TensorFlow
929,EasonC13,Automatic Identification And Classification of Contract Data Types with NLP,Accord Project
930,Sarthak Bhardwaj-1,Re: Develop a test framework for checking FreeType's rendering output,FreeType
931,Ruturaj Mohite,Refactoring Testbench and Automated Testing,CircuitVerse.org
932,Martynas Jočys,Evolving bdchecks: a biodiversity data quality checks framework,The R Project for Statistical Computing
933,Kumar Shivendu,Improve the Archive Search,Software Heritage
934,Akshansh Bhatt,Improving and Expanding Functionalities in Control Module,SymPy
935,Juan Elias Rodriguez,Proposal by Juan Elias for OpenLex PyAr,Python Software Foundation
936,Zeping Bai,Enhanced authentication for APISIX Dashboard,The Apache Software Foundation
937,Sanjay Singh Rajpoot,Hindi Translation for P5.js website,Processing Foundation
938,Pavindu Lakshan,Apache OODT - Improving OPSUI React.js UI with Advanced Functionalities,The Apache Software Foundation
939,Sai karthikeya,Bug fixing & Improving User Interface in enviroCar Android,52°North GmbH
940,Siddhartha Jejurkar,Blender - UV editor improvements,Blender Foundation
941,Larry Dong,pymc3.dp: Bayesian Stati-sticks for Summer 2021,NumFOCUS
942,Fikri Yurcel Milano,Android FHIR Client as The Standard Implementation of Android FHIR SDK,Google FHIR SDK
943,Nathan Wood,Improving GOpt Visualization be Implementing Avogadro as an Alternative to Visualizing Molecular  Dynamics,Open Chemistry
944,CodeChamp_SS,Pocket Code for Android: Refactoring and Rewriting Production Code and Tests to Kotlin,International Catrobat Association
945,Sanket Shevkar,Signing Template and Signing Contracts,Accord Project
946,Niki Ito,Activism Through Storytelling with Code,Processing Foundation
947,BHAVESH SHARMA,Develop an Android mobile application for newborn clinical decision support,LibreHealth
948,Utsav Akhaury,Automatic Realization of AI-Based Electromagnetic Models,gprMax
949,Balaje,A fast finite element interpolator in Gridap.jl,NumFOCUS
950,Bartłomiej Rasztabiga,The REST of Administration,OpenMRS
951,Jatin Sharma,Community datasets in TFDS,TensorFlow
952,Ainhoa Maestro,VISIT THE WORLD HOME EDITION,Liquid Galaxy project
953,Aryaman Gupta,Improve Exploration save flow: Syncing edits in the background,Oppia Foundation
954,Micah Kendall,A Lua library for Freechains-P2P,LabLua
955,July541,Implement missing refactoring in Haskell Language Server,Haskell.org
956,Kumar Saurabh Raj,"MusicBlocks v4: Friendly, Intuitive, Fast",Sugar Labs
957,Shridhar Goel,Development of AnkiDroid project,AnkiDroid
958,Donald Lee,Lua hook points,FRRouting
959,Shriyanshu Kukreti,Awesome Demo Game Project - Sisters of the Faldroid,International Catrobat Association
960,GUIFO FODJO A Yvan,Matrix state of the art,Pharo Consortium
961,Metehan Arslan,Advanced Audio Filters,VideoLAN
962,Akshit,Add logging support to Simulation Execution Manager (SEM),The ns-3 Network Simulator Project
963,Daniil Ignatiev,A morphological analyzer for Bagvalal,Apertium
964,Hồng Quân Trần,Apache James - Implement Thread support for JMAP,The Apache Software Foundation
965,Roshan Swain,Example Zoo,mlpack
966,Hang Yan,Enable CUDA builds on CI,Point Cloud Library
967,Manorit Chawdhry,Implementing Linux support in Drakvuf-Sandbox,The Honeynet Project
968,Daniel Swanson,Unipertium,Apertium
969,moki1202,PEcAn in CRAN,PEcAn Project
970,btut,Improve pdf support in JabRef,JabRef e.V.
971,Katie Liu,Adding Alt Text,Processing Foundation
972,Pranav Ballaney,SBML Simulator in Rust,National Resource for Network Biology (NRNB)
973,Geraldine Galindo,Code Completion in Pharo,Pharo Consortium
974,Anubhab Das,"Logging, Unit Test Infrastructure and Precooked Sources for PRMON",CERN-HSF
975,Shyam,Service Market,SCoRe Lab
976,Adam Leung,VLC Qt interface redesign,VideoLAN
977,Fahad Israr,Project Starfix : Open anything anywhere in any IDE/editor,JBoss Community
978,Cyrine Gamoudi,Port SAST and Secret Detection rails platform code to GitLab CE project,GitLab
979,Apoorva Agarwal-1,Journals Open Review Workflow and Integration,Cuneiform Digital Library Initiative (CDLI)
980,Manuel Genovés,Libadwaita animation API,GNOME Foundation
981,Ming Liang Ang,Convert Matlab ML examples to Python / JAX,TensorFlow
982,orion cohen,A Solvation Module for MDAnalysis,MDAnalysis
983,Yurii Halychanskyi,Direct Objective Function for Anomaly Detection,Machine Learning for Science (ML4SCI) Umbrella Organization
984,Rohitesh Jain,Add/Improve tests in Spoon,CASTOR
985,FromG,Pocket Paint for Android: Additional brush options,International Catrobat Association
986,Joshua Nsereko,Patch Security Vulnerabilities Identified by NCSU,OpenMRS
987,Shantanu Kaushik,Adding to p5.js Friendly Error System,Processing Foundation
988,Sachin Jindal,Reference Image Improvement,KDE Community
989,Pau Riera i Portillo,[Gridap] Visualizing PDE approximations in Julia with Gridap.jl and Makie.jl,NumFOCUS
990,Vinayak Sharma,EOS Icons react library,Python Software Foundation
991,Masood Kamandy,Add Examples and Fix Bugs in Swift Processing,Processing Foundation
992,Joykirat Singh,MusicBlocks Menus and Palettes,Sugar Labs
993,Kira Patton,Kotlin & Gradle work for Android Tools project,Debian
994,Javed Ali,Adding analysis report and Direct import from GEO databases to ABioTrans Plus,National Resource for Network Biology (NRNB)
995,Nishant Mittal,Template Plugin,Joplin
996,Samarpan Dutta,"Casbin-Server, Rocket-Authz, JSON-Adapter",Casbin
997,Thanoshan M.V.,Proofread Oracle DML SQL Definitions for the ShardingSphere Parser,The Apache Software Foundation
998,Anirban Chetia,Improvements to the directlabels package,The R Project for Statistical Computing
999,Pulkit Midha,MediaPipe Holistic in Unity,MediaPipe
1000,Rohit Topi,CernVM-FS preload capability,CERN-HSF
1001,Ayush Prasad,Adding ICOS and GEDI data streams to PEcAn,PEcAn Project
1002,Shivam Agarwal,WebStatus Developer Tooling,Chromium
1003,Callum Brown,Token Authenticated Registration,Matrix.org
1004,Sanchit (pilgrim2308),Gitmate for coala,coala
1005,ranjit shah,Frontend reimplementation using react,Digital Impact Alliance (DIAL) at UN Foundation
1006,anuejn,GUI for AXIOM Recorder,apertus° Association
1007,Veronia Iskandar,Bring up CV32E40P AI accelerator on FPGA,Free and Open Source Silicon Foundation
1008,Utkarsh Shendge,Improved UI design and Multilingual Support,The Palisadoes Foundation
1009,Valerius_B,Freifunk Radio Ressource Management with IEEE 802.11v,freifunk
1010,Özgür Kara,Graphical User Interface for OpenAI Gym,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
1011,Sandeep Saurav,Integrating 3D scene builder as WPS services within MapMint administration User Interface,OSGeo - Open Source Geospatial Foundation
1012,Azamat Akimniyazov,Develop a prototype MT system for a strategic language pair uzb->kaa,Apertium
1013,Jianhui Lu,Add monitoring of pg_stat_statements to pg_systat,PostgreSQL
1014,Ankit kumar,SMART-on-FHIR,OpenMRS
1015,fibersel,Add ttl for cassandra snapshots,The Apache Software Foundation
1016,Rushikesh Tote,Lua-Casbin,Casbin
1017,Aaron Saw Min Sern,Parallelization of existing modules for GRASS GIS,OSGeo - Open Source Geospatial Foundation
1018,Jaikishan Brijwani,Sugarizer Security and Availability,Sugar Labs
1019,AYAN BISWAS,Integration of CircuitVerse with LMS Platforms,CircuitVerse.org
1020,Soumya,Display simulation data for rigid bodies and cloth,Blender Foundation
1021,Pratyush Das,Integrate custom derivatives of Numerical Computing routines like BLAS and Eigen into Enzyme,The LLVM Compiler Infrastructure
1022,Harsh Khilawala,Measure the Quality of CerebUnit Validation Tests,INCF
1023,Piyumal Demotte,Input/Out Workflows for Active Segmentation Platform,INCF
1024,Santhosh Anguluri,Collective Operations over multiple layers/groups,KDE Community
1025,Rishabh Garg,Improve Tree Ensemble Support,mlpack
1026,Daniyal Abbasi,Adding a Redis cache backend to Core,Django Software Foundation
1027,Ayush Tiwari,Agora-Web,AOSSIE
1028,Riccardo Mori,Use official isl C++ bindings for polly,The LLVM Compiler Infrastructure
1029,Julius Hohnerlein,Hydra - Hybrid Fuzzing with LibAFL,AFLplusplus
1030,Mark Nawar,re2r back on CRAN,The R Project for Statistical Computing
1031,Saahil,DFFML: Support Archive Storage for  Models,Python Software Foundation
1032,Ashish-Kumar,VRP functionality with VROOM on the database for pgRouting,OSGeo - Open Source Geospatial Foundation
1033,Suryansh Singh Tomar,Proposal for Monumento,AOSSIE
1034,Christos Margiolis,libmixer(3),FreeBSD Project
1035,Fahad Nayyar,Beneficial region-instantiation for SPF,Java PathFinder
1036,Sourav singh,AR Draw experience in MapMint4me,OSGeo - Open Source Geospatial Foundation
1037,Aleksandr Gushchin,Improve fast scene detection modes proposal,Xiph.Org Foundation
1038,Lucas Stankus,Proposal for GSoC 2021 IIO Driver: AD7294-2,The Linux Foundation
1039,Yadnik Bendale,Micropython for BeagleConnect Freedom,BeagleBoard.org Foundation
1040,Srinivas Yadav,Add vectorization to par_unseq implementations of Parallel Algorithms,STE||AR Group
1041,daksh,Digital Library Management,Cuneiform Digital Library Initiative (CDLI)
1042,Nazerke Turtayeva,Multi-level TLB support for Ariane,Free and Open Source Silicon Foundation
1043,Akhil,Testing Dashboard,PEcAn Project
1044,Kaushik Sivashankar,Dark Web Exploration for Cyber Threat Analysis,OWASP Foundation
1045,Barun,Geographic Features Refinement,Public Lab
1046,Vedant Paranjape,Multistream support in GStreamer element,libcamera
1047,Hasan Faraz Khan,General Improvements in hydrus,Hydra Ecosystem
1048,Aditya Mulgundkar,Create nuget package for OpenCV and OpenCV contrib,OpenCV
1049,Abhijeet Bodas,"Work on making Zulip better for large, high traffic organizations.",Zulip
1050,Oscar Ekholm,View-Only Mode in GRC,GNU Radio
1051,Lut,Improve pure Elm markdown parser,Elm Tooling
1052,Yash-10,Expand Events Detection,Libre Space Foundation
1053,Zohaib Ansari,Element History Widget,OpenStreetMap
1054,Tasneem Koushar,Automating Puppeteer’s Documentation - Tasneem Koushar,Chromium
1055,Harshit Sharma,Quality Check and Assurance,Polypheny
1056,Gaelan Steele,vhost-user-scsi device in Rust,QEMU
1057,Kumar Kartikeya Dwivedi,Add io_uring support,CRIU
1058,Mostafa Ashraf Mohamed,Improving support for compute shaders in spirv-fuzz,Android Graphics Tools Team
1059,Shravan Chaudhari,Graph Neural Networks for End-to-End Particle Identification with the CMS Experiment,Machine Learning for Science (ML4SCI) Umbrella Organization
